monomer,ontology,isolate,response,percent_uptake
stachyhydrine,Organic acids,Caulobacter sp. URHA0033,positive,0.987498192
stachyhydrine,Organic acids,Cellulomonas sp. URHD0024,undefined,0.700857922
stachyhydrine,Organic acids,Cellulomonas sp. URHE0023,undefined,0.970405949
stachyhydrine,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999953
stachyhydrine,Organic acids,Dongia sp. URHE0060,positive,0.993081452
stachyhydrine,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999908
stachyhydrine,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.974156999
stachyhydrine,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.92993136
stachyhydrine,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.994468509
stachyhydrine,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999917189
stachyhydrine,Organic acids,Lysobacter sp. URHA0019,undefined,0.999986634
stachyhydrine,Organic acids,Marmoricola sp. URHB0036,undefined,0.848078492
stachyhydrine,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999990438
stachyhydrine,Organic acids,Mesorhizobium sp. URHB0007,positive,0.998799504
stachyhydrine,Organic acids,Mesorhizobium sp. URHC0008,positive,0.754521396
stachyhydrine,Organic acids,Microbacterium sp. URHA0036,undefined,0.999967844
stachyhydrine,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.798324658
stachyhydrine,Organic acids,Mycobacterium sp. URHB0044,positive,0.923612142
stachyhydrine,Organic acids,Mycobacterium sp. URHD0025,positive,0.89342362
stachyhydrine,Organic acids,Nocardioides sp. URHA0020,undefined,0.975228071
stachyhydrine,Organic acids,Nocardioides sp. URHA0032,undefined,0.549166785
stachyhydrine,Organic acids,Paenibacillus sp. URHA0014,negative,0.99999925
stachyhydrine,Organic acids,Pseudomonas sp. URHB0015,positive,0.997948538
stachyhydrine,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999999
stachyhydrine,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999996935
stachyhydrine,Organic acids,Solirubrobacter sp. URHD0082,negative,0.934557634
stachyhydrine,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.649865621
stachyhydrine,Organic acids,Sphingomonas sp. URHD0007,positive,0.998639599
stachyhydrine,Organic acids,Sphingomonas sp. URHD0057,positive,0.999992515
stachyhydrine,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999997014
stachyhydrine,Organic acids,Streptomyces sp. URHA0041,positive,0.959014806
stachyhydrine,Organic acids,Variovorax sp. URHB0020,positive,0.999999878
succinic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.578746318
succinic acid,Organic acids,Bacillus sp. URHB0009,negative,0.988146076
succinic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.729340594
succinic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999874402
succinic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999941947
succinic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999997304
succinic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.998987572
succinic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.971538143
succinic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.777020082
succinic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.98859745
succinic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999912
succinic acid,Organic acids,Dongia sp. URHE0060,positive,0.99689819
succinic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999006
succinic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.967334159
succinic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.950751423
succinic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.991663535
succinic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999880912
succinic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999989184
succinic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.892447556
succinic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999994491
succinic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.99951001
succinic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.819037653
succinic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999977901
succinic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.844780828
succinic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.907831482
succinic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.885182392
succinic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.981656454
succinic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.639454347
succinic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999986923
succinic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.984542821
succinic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999929
succinic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999996687
succinic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.963982238
succinic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.730303876
succinic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.999550569
succinic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999996828
succinic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999973725
succinic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.957295176
succinic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999999253
inositol,Sugars,Acidobacteriaceae bacterium URHE0068,positive,0.996415532
inositol,Sugars,Bacillus sp. URHB0009,negative,0.997960097
inositol,Sugars,Blastococcus sp. URHD0036,undefined,0.991976791
inositol,Sugars,Bradyrhizobium sp. URHA0002,positive,0.999194535
inositol,Sugars,Bradyrhizobium sp. URHA0013,positive,0.999958635
inositol,Sugars,Bradyrhizobium sp. URHD0069,positive,0.999991206
inositol,Sugars,Burkholderia sp. URHA0054,positive,0.999959201
inositol,Sugars,Caulobacter sp. URHA0033,positive,0.992064471
inositol,Sugars,Cellulomonas sp. URHD0024,undefined,0.999996893
inositol,Sugars,Cellulomonas sp. URHE0023,undefined,1
inositol,Sugars,Comamonadaceae bacterium URHA0028,positive,0.999998233
inositol,Sugars,Dongia sp. URHE0060,positive,1
inositol,Sugars,Flavobacterium sp. URHB0058,undefined,0.999999878
inositol,Sugars,Geodermatophilaceae bacterium URHA0031,negative,0.998253678
inositol,Sugars,Geodermatophilaceae bacterium URHB0048,negative,0.999903996
inositol,Sugars,Geodermatophilaceae bacterium URHB0062,negative,0.999875167
inositol,Sugars,Intrasporangiaceae bacterium URHB0013,undefined,0.999999595
inositol,Sugars,Lysobacter sp. URHA0019,undefined,0.999960635
inositol,Sugars,Marmoricola sp. URHB0036,undefined,0.999921321
inositol,Sugars,Mesorhizobium sp. URHA0056,positive,0.999999972
inositol,Sugars,Mesorhizobium sp. URHB0007,positive,0.999999957
inositol,Sugars,Mesorhizobium sp. URHC0008,positive,0.999988291
inositol,Sugars,Microbacterium sp. URHA0036,undefined,1
inositol,Sugars,Micromonosporaceae bacterium URHE0070,negative,0.999849324
inositol,Sugars,Mycobacterium sp. URHB0044,positive,0.984372549
inositol,Sugars,Mycobacterium sp. URHD0025,positive,0.975212715
inositol,Sugars,Nocardioides sp. URHA0020,undefined,0.999899485
inositol,Sugars,Nocardioides sp. URHA0032,undefined,0.99997832
inositol,Sugars,Paenibacillus sp. URHA0014,negative,0.999999961
inositol,Sugars,Pseudomonas sp. URHB0015,positive,0.994683794
inositol,Sugars,Rhodospirillales bacterium URHD0017,positive,0.999997452
inositol,Sugars,Rhodospirillales bacterium URHD0088,undefined,0.999999978
inositol,Sugars,Solirubrobacter sp. URHD0082,negative,0.999999742
inositol,Sugars,Solirubrobacterales bacterium URHD0059,negative,0.999991337
inositol,Sugars,Sphingomonas sp. URHD0007,positive,0.999999925
inositol,Sugars,Sphingomonas sp. URHD0057,positive,0.999996977
inositol,Sugars,Staphylococcus sp. URHA0057,undefined,0.999998252
inositol,Sugars,Streptomyces sp. URHA0041,positive,0.999420618
inositol,Sugars,Variovorax sp. URHB0020,positive,0.99999661
syringic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.45223398
syringic acid,Organic acids,Bacillus sp. URHB0009,negative,0.998247997
syringic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.632077404
syringic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999978238
syringic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999985117
syringic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999735
syringic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.999893531
syringic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.986954996
syringic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.650376864
syringic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.952661933
syringic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999952
syringic acid,Organic acids,Dongia sp. URHE0060,positive,0.98774584
syringic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999922
syringic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.967945649
syringic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.906271529
syringic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.992690608
syringic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999854816
syringic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999966186
syringic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.809834695
syringic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999978762
syringic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.997502453
syringic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.707453834
syringic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999921496
syringic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.757406618
syringic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.911793214
syringic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.875739933
syringic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.9643406
syringic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.498015482
syringic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999999312
syringic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.998733587
syringic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,1
syringic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999992062
syringic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.907895933
syringic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.59866973
syringic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.997084601
syringic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999976779
syringic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999997262
syringic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.947976456
syringic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999999896
taurine,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.62391636
taurine,Organic acids,Bacillus sp. URHB0009,negative,0.909571703
taurine,Organic acids,Blastococcus sp. URHD0036,undefined,0.711226638
taurine,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.995502936
taurine,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.997900198
taurine,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999584163
taurine,Organic acids,Burkholderia sp. URHA0054,positive,0.979556351
taurine,Organic acids,Caulobacter sp. URHA0033,positive,0.878915331
taurine,Organic acids,Cellulomonas sp. URHD0024,undefined,0.813066229
taurine,Organic acids,Cellulomonas sp. URHE0023,undefined,0.995021136
taurine,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999458
taurine,Organic acids,Dongia sp. URHE0060,positive,0.996016795
taurine,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999818811
taurine,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.904189847
taurine,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.9355453
taurine,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.960067809
taurine,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.998471885
taurine,Organic acids,Lysobacter sp. URHA0019,undefined,0.999844286
taurine,Organic acids,Marmoricola sp. URHB0036,undefined,0.891055622
taurine,Organic acids,Mesorhizobium sp. URHA0056,positive,0.99997698
taurine,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999085222
taurine,Organic acids,Mesorhizobium sp. URHC0008,positive,0.836749777
taurine,Organic acids,Microbacterium sp. URHA0036,undefined,0.999787841
taurine,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.832865814
taurine,Organic acids,Mycobacterium sp. URHB0044,positive,0.801321027
taurine,Organic acids,Mycobacterium sp. URHD0025,positive,0.786406308
taurine,Organic acids,Nocardioides sp. URHA0020,undefined,0.965018154
taurine,Organic acids,Nocardioides sp. URHA0032,undefined,0.708757304
taurine,Organic acids,Paenibacillus sp. URHA0014,negative,0.998498606
taurine,Organic acids,Pseudomonas sp. URHB0015,positive,0.883414733
taurine,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999905786
taurine,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999914254
taurine,Organic acids,Solirubrobacter sp. URHD0082,negative,0.970861545
taurine,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.772449521
taurine,Organic acids,Sphingomonas sp. URHD0007,positive,0.999456244
taurine,Organic acids,Sphingomonas sp. URHD0057,positive,0.999972917
taurine,Organic acids,Staphylococcus sp. URHA0057,undefined,0.998173505
taurine,Organic acids,Streptomyces sp. URHA0041,positive,0.900721678
taurine,Organic acids,Variovorax sp. URHB0020,positive,0.999924579
thiamine,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.407333043
thiamine,Organic acids,Bacillus sp. URHB0009,negative,0.998734216
thiamine,Organic acids,Blastococcus sp. URHD0036,undefined,0.586597525
thiamine,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999975824
thiamine,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999983201
thiamine,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999667
thiamine,Organic acids,Burkholderia sp. URHA0054,positive,0.999913718
thiamine,Organic acids,Caulobacter sp. URHA0033,positive,0.986451786
thiamine,Organic acids,Cellulomonas sp. URHD0024,undefined,0.599169053
thiamine,Organic acids,Cellulomonas sp. URHE0023,undefined,0.9287834
thiamine,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999952
thiamine,Organic acids,Dongia sp. URHE0060,positive,0.979475639
thiamine,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999937
thiamine,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.96024707
thiamine,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.877783554
thiamine,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.990318997
thiamine,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999743198
thiamine,Organic acids,Lysobacter sp. URHA0019,undefined,0.999917462
thiamine,Organic acids,Marmoricola sp. URHB0036,undefined,0.767526053
thiamine,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999950987
thiamine,Organic acids,Mesorhizobium sp. URHB0007,positive,0.995112195
thiamine,Organic acids,Mesorhizobium sp. URHC0008,positive,0.65836855
thiamine,Organic acids,Microbacterium sp. URHA0036,undefined,0.999815284
thiamine,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.713455789
thiamine,Organic acids,Mycobacterium sp. URHB0044,positive,0.898089776
thiamine,Organic acids,Mycobacterium sp. URHD0025,positive,0.855475245
thiamine,Organic acids,Nocardioides sp. URHA0020,undefined,0.949927338
thiamine,Organic acids,Nocardioides sp. URHA0032,undefined,0.449029005
thiamine,Organic acids,Paenibacillus sp. URHA0014,negative,0.999999398
thiamine,Organic acids,Pseudomonas sp. URHB0015,positive,0.999366348
thiamine,Organic acids,Rhodospirillales bacterium URHD0017,positive,1
thiamine,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999979865
thiamine,Organic acids,Solirubrobacter sp. URHD0082,negative,0.875423925
thiamine,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.547765475
thiamine,Organic acids,Sphingomonas sp. URHD0007,positive,0.994193211
thiamine,Organic acids,Sphingomonas sp. URHD0057,positive,0.999932809
thiamine,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999997585
thiamine,Organic acids,Streptomyces sp. URHA0041,positive,0.934374982
thiamine,Organic acids,Variovorax sp. URHB0020,positive,0.999999915
threonic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.558869727
threonic acid,Organic acids,Bacillus sp. URHB0009,negative,0.984978466
threonic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.709798222
threonic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999800915
threonic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999911364
threonic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999994767
threonic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.9985454
threonic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.965576043
threonic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.758440172
threonic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.985539983
threonic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999898
threonic acid,Organic acids,Dongia sp. URHE0060,positive,0.995779841
threonic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999998369
threonic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.96078579
threonic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.942168197
threonic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.989241228
threonic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999814469
threonic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999980192
threonic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.878841044
threonic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999991658
threonic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999271294
threonic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.801764576
threonic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999961398
threonic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.82856682
threonic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.89531791
threonic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.871123945
threonic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.977290933
threonic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.619295858
threonic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999976768
threonic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.980685593
threonic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999834
threonic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.99999359
threonic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.95699287
threonic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.71078138
threonic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.9993291
threonic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999993818
threonic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999958291
threonic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.949457542
threonic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999998929
threonine ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.998831484
threonine ,Amino acids,Bacillus sp. URHB0009,negative,0.993834433
threonine ,Amino acids,Blastococcus sp. URHD0036,undefined,0.992841798
threonine ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999980645
threonine ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999990373
threonine ,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999901
threonine ,Amino acids,Burkholderia sp. URHA0054,positive,0.999728475
threonine ,Amino acids,Caulobacter sp. URHA0033,positive,0.983855355
threonine ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999971477
threonine ,Amino acids,Cellulomonas sp. URHE0023,undefined,1
threonine ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999927
threonine ,Amino acids,Dongia sp. URHE0060,positive,0.999999998
threonine ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999517
threonine ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.996320617
threonine ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999898545
threonine ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999499203
threonine ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999106
threonine ,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999994
threonine ,Amino acids,Marmoricola sp. URHB0036,undefined,0.999724333
threonine ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999955
threonine ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999915
threonine ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999922386
threonine ,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999999
threonine ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999323356
threonine ,Amino acids,Mycobacterium sp. URHB0044,positive,0.97601766
threonine ,Amino acids,Mycobacterium sp. URHD0025,positive,0.97711166
threonine ,Amino acids,Nocardioides sp. URHA0020,undefined,0.999766693
threonine ,Amino acids,Nocardioides sp. URHA0032,undefined,0.999991985
threonine ,Amino acids,Paenibacillus sp. URHA0014,negative,0.999998736
threonine ,Amino acids,Pseudomonas sp. URHB0015,positive,0.988550633
threonine ,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999985
threonine ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
threonine ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999209
threonine ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999928536
threonine ,Amino acids,Sphingomonas sp. URHD0007,positive,0.999997964
threonine ,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999949
threonine ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999995475
threonine ,Amino acids,Streptomyces sp. URHA0041,positive,0.997829452
threonine ,Amino acids,Variovorax sp. URHB0020,positive,0.999999433
thymidine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.657096989
thymidine,Nucleotides,Bacillus sp. URHB0009,negative,0.997756318
thymidine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.870570027
thymidine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.715901117
thymidine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.833364775
thymidine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.420284662
thymidine,Nucleotides,Burkholderia sp. URHA0054,positive,0.995841268
thymidine,Nucleotides,Caulobacter sp. URHA0033,positive,0.948894599
thymidine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.96836645
thymidine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.999958808
thymidine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.968892902
thymidine,Nucleotides,Dongia sp. URHE0060,positive,0.389069637
thymidine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999410683
thymidine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.89746639
thymidine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.98134561
thymidine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.990711433
thymidine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.99249103
thymidine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
thymidine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.78533201
thymidine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.995778537
thymidine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.928163802
thymidine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.740588885
thymidine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.999956319
thymidine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.731513553
thymidine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.883978218
thymidine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.898349716
thymidine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.813069926
thymidine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.945551389
thymidine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.99926928
thymidine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.998455659
thymidine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.503371236
thymidine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.630189347
thymidine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.889794372
thymidine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.349285111
thymidine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.941090342
thymidine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
thymidine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999992726
thymidine,Nucleotides,Streptomyces sp. URHA0041,positive,0.938484111
thymidine,Nucleotides,Variovorax sp. URHB0020,positive,0.963707459
trans-cinnamic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.487153679
trans-cinnamic acid,Organic acids,Bacillus sp. URHB0009,negative,0.99915034
trans-cinnamic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.670409214
trans-cinnamic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999992505
trans-cinnamic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999993458
trans-cinnamic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999944
trans-cinnamic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.999959998
trans-cinnamic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.992043221
trans-cinnamic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.68837376
trans-cinnamic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.966070079
trans-cinnamic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999966
trans-cinnamic acid,Organic acids,Dongia sp. URHE0060,positive,0.992447472
trans-cinnamic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999968
trans-cinnamic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.978205334
trans-cinnamic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.927806937
trans-cinnamic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.995780945
trans-cinnamic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999940079
trans-cinnamic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999989132
trans-cinnamic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.841584638
trans-cinnamic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999990643
trans-cinnamic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.998699535
trans-cinnamic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.744331891
trans-cinnamic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999971866
trans-cinnamic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.792395669
trans-cinnamic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.932829969
trans-cinnamic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.901560384
